Team_Name,Year,Wins,Losses,Overtime_Losses,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Games_played,GF_per_Game,GA_per_Game,GD_per_Game,Team_Initials,Era
Detroit Red Wings,1970,44,24,14,53.7,229,216,13,82.0,2.79,2.63,0.16,DRW,1990s
Edmonton Oilers,1970,27,47,8,32.9,214,284,-70,82.0,2.61,3.46,-0.85,EO,1990s
Florida Panthers,1970,32,37,13,39.0,208,244,-36,82.0,2.54,2.98,-0.44,FP,1990s
Los Angeles Kings,1970,46,27,9,56.1,241,219,22,82.0,2.94,2.67,0.27,LAK,1990s
Minnesota Wild,1970,38,36,8,46.3,219,246,-27,82.0,2.67,3.0,-0.33,MW,1990s
Montreal Canadiens,1970,39,33,10,47.6,217,223,-6,82.0,2.65,2.72,-0.07,MC,1990s
Nashville Predators,1970,47,29,6,57.3,225,225,0,82.0,2.74,2.74,0.0,NP,1990s
New Jersey Devils,1970,48,27,7,58.5,222,191,31,82.0,2.71,2.33,0.38,NJD,1990s
New York Islanders,1970,34,37,11,41.5,222,264,-42,82.0,2.71,3.22,-0.51,NYI,1990s
New York Rangers,1970,38,33,11,46.3,222,218,4,82.0,2.71,2.66,0.05,NYR,1990s
Ottawa Senators,1970,44,32,6,53.7,225,238,-13,82.0,2.74,2.9,-0.16,OS,1990s
Philadelphia Flyers,1970,41,35,6,50.0,236,225,11,82.0,2.88,2.74,0.13,PF,1990s
Phoenix Coyotes,1970,50,25,7,61.0,225,202,23,82.0,2.74,2.46,0.28,PC,1990s
Pittsburgh Penguins,1970,47,28,7,57.3,257,237,20,82.0,3.13,2.89,0.24,PP,1990s
San Jose Sharks,1970,51,20,11,62.2,264,215,49,82.0,3.22,2.62,0.6,SJS,1990s
St. Louis Blues,1970,40,32,10,48.8,225,223,2,82.0,2.74,2.72,0.02,SLB,1990s
Tampa Bay Lightning,1970,34,36,12,41.5,217,260,-43,82.0,2.65,3.17,-0.52,TBL,1990s
Toronto Maple Leafs,1970,30,38,14,36.6,214,267,-53,82.0,2.61,3.26,-0.65,TML,1990s
Vancouver Canucks,1970,49,28,5,59.8,272,222,50,82.0,3.32,2.71,0.61,VC,1990s
Washington Capitals,1970,54,15,13,65.9,318,233,85,82.0,3.88,2.84,1.04,WC,1990s
Anaheim Ducks,1970,47,30,5,57.3,239,235,4,82.0,2.91,2.87,0.05,AD,1990s
Atlanta Thrashers,1970,34,36,12,41.5,223,269,-46,82.0,2.72,3.28,-0.56,AT,1990s
Boston Bruins,1970,46,25,11,56.1,246,195,51,82.0,3.0,2.38,0.62,BB,1990s
Buffalo Sabres,1970,43,29,10,52.4,245,229,16,82.0,2.99,2.79,0.2,BS,1990s
Calgary Flames,1970,41,29,12,50.0,250,237,13,82.0,3.05,2.89,0.16,CF,1990s
Carolina Hurricanes,1970,40,31,11,48.8,236,239,-3,82.0,2.88,2.91,-0.04,CH,1990s
Columbus Blue Jackets,1970,34,35,13,41.5,215,258,-43,82.0,2.62,3.15,-0.52,CBJ,1990s
Chicago Blackhawks,1970,44,29,9,53.7,258,225,33,82.0,3.15,2.74,0.4,CB,1990s
Colorado Avalanche,1970,30,44,8,36.6,227,288,-61,82.0,2.77,3.51,-0.74,CA,1990s
Dallas Stars,1970,42,29,11,51.2,227,233,-6,82.0,2.77,2.84,-0.07,DS,1990s
Detroit Red Wings,1970,47,25,10,57.3,261,241,20,82.0,3.18,2.94,0.24,DRW,1990s
Edmonton Oilers,1970,25,45,12,30.5,193,269,-76,82.0,2.35,3.28,-0.93,EO,1990s
Florida Panthers,1970,30,40,12,36.6,195,229,-34,82.0,2.38,2.79,-0.41,FP,1990s
Los Angeles Kings,1970,46,30,6,56.1,219,198,21,82.0,2.67,2.41,0.26,LAK,1990s
Minnesota Wild,1970,39,35,8,47.6,206,233,-27,82.0,2.51,2.84,-0.33,MW,1990s
Montreal Canadiens,1970,44,30,8,53.7,216,209,7,82.0,2.63,2.55,0.09,MC,1990s
Nashville Predators,1970,44,27,11,53.7,219,194,25,82.0,2.67,2.37,0.3,NP,1990s
New Jersey Devils,1970,38,39,5,46.3,174,209,-35,82.0,2.12,2.55,-0.43,NJD,1990s
New York Islanders,1970,30,39,13,36.6,229,264,-35,82.0,2.79,3.22,-0.43,NYI,1990s
New York Rangers,1970,44,33,5,53.7,233,198,35,82.0,2.84,2.41,0.43,NYR,1990s
Ottawa Senators,1970,32,40,10,39.0,192,250,-58,82.0,2.34,3.05,-0.71,OS,1990s
Philadelphia Flyers,1970,47,23,12,57.3,259,223,36,82.0,3.16,2.72,0.44,PF,1990s
Phoenix Coyotes,1970,43,26,13,52.4,231,226,5,82.0,2.82,2.76,0.06,PC,1990s
Pittsburgh Penguins,1970,49,25,8,59.8,238,199,39,82.0,2.9,2.43,0.48,PP,1990s
San Jose Sharks,1970,48,25,9,58.5,248,213,35,82.0,3.02,2.6,0.43,SJS,1990s
St. Louis Blues,1970,38,33,11,46.3,240,234,6,82.0,2.93,2.85,0.07,SLB,1990s
Tampa Bay Lightning,1970,46,25,11,56.1,247,240,7,82.0,3.01,2.93,0.09,TBL,1990s
Toronto Maple Leafs,1970,37,34,11,45.1,218,251,-33,82.0,2.66,3.06,-0.4,TML,1990s
Vancouver Canucks,1970,54,19,9,65.9,262,185,77,82.0,3.2,2.26,0.94,VC,1990s
Washington Capitals,1970,48,23,11,58.5,224,197,27,82.0,2.73,2.4,0.33,WC,1990s
Anaheim Ducks,1970,34,36,12,41.5,204,231,-27,82.0,2.49,2.82,-0.33,AD,1990s
Boston Bruins,1970,49,29,4,59.8,269,202,67,82.0,3.28,2.46,0.82,BB,1990s
Buffalo Sabres,1970,39,32,11,47.6,218,230,-12,82.0,2.66,2.8,-0.15,BS,1990s
Calgary Flames,1970,37,29,16,45.1,202,226,-24,82.0,2.46,2.76,-0.29,CF,1990s
Carolina Hurricanes,1970,33,33,16,40.2,213,243,-30,82.0,2.6,2.96,-0.37,CH,1990s
Columbus Blue Jackets,1970,29,46,7,35.4,202,262,-60,82.0,2.46,3.2,-0.73,CBJ,1990s
Chicago Blackhawks,1970,45,26,11,54.9,248,238,10,82.0,3.02,2.9,0.12,CB,1990s
Colorado Avalanche,1970,41,35,6,50.0,208,220,-12,82.0,2.54,2.68,-0.15,CA,1990s
