Team_Name,Year,Wins,Losses,Overtime_Losses,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Games_played,GF_per_Game,GA_per_Game,GD_per_Game,Team_Initials,Era
Mighty Ducks of Anaheim,1970,33,46,0,39.3,229,251,-22,79.0,2.9,3.18,-0.28,MDOA,1990s
Boston Bruins,1970,42,29,0,50.0,289,252,37,71.0,4.07,3.55,0.52,BB,1990s
Buffalo Sabres,1970,43,32,0,51.2,282,218,64,75.0,3.76,2.91,0.85,BS,1990s
Calgary Flames,1970,42,29,0,50.0,302,256,46,71.0,4.25,3.61,0.65,CF,1990s
Chicago Blackhawks,1970,39,36,0,46.4,254,240,14,75.0,3.39,3.2,0.19,CB,1990s
Dallas Stars,1970,42,29,0,50.0,286,265,21,71.0,4.03,3.73,0.3,DS,1990s
Detroit Red Wings,1970,46,30,0,54.8,356,275,81,76.0,4.68,3.62,1.07,DRW,1990s
Edmonton Oilers,1970,25,45,0,29.8,261,305,-44,70.0,3.73,4.36,-0.63,EO,1990s
Florida Panthers,1970,33,34,0,39.3,233,233,0,67.0,3.48,3.48,0.0,FP,1990s
Hartford Whalers,1970,27,48,0,32.1,227,288,-61,75.0,3.03,3.84,-0.81,HW,1990s
Los Angeles Kings,1970,27,45,0,32.1,294,322,-28,72.0,4.08,4.47,-0.39,LAK,1990s
Montreal Canadiens,1970,41,29,0,48.8,283,248,35,70.0,4.04,3.54,0.5,MC,1990s
New Jersey Devils,1970,47,25,0,56.0,306,220,86,72.0,4.25,3.06,1.19,NJD,1990s
New York Islanders,1970,36,36,0,42.9,282,264,18,72.0,3.92,3.67,0.25,NYI,1990s
New York Rangers,1970,52,24,0,61.9,299,231,68,76.0,3.93,3.04,0.89,NYR,1990s
Ottawa Senators,1970,14,61,0,16.7,201,397,-196,75.0,2.68,5.29,-2.61,OS,1990s
Philadelphia Flyers,1970,35,39,0,41.7,294,314,-20,74.0,3.97,4.24,-0.27,PF,1990s
Pittsburgh Penguins,1970,44,27,0,52.4,299,285,14,71.0,4.21,4.01,0.2,PP,1990s
Quebec Nordiques,1970,34,42,0,40.5,277,292,-15,76.0,3.64,3.84,-0.2,QN,1990s
San Jose Sharks,1970,33,35,0,39.3,252,265,-13,68.0,3.71,3.9,-0.19,SJS,1990s
St. Louis Blues,1970,40,33,0,47.6,270,283,-13,73.0,3.7,3.88,-0.18,SLB,1990s
Tampa Bay Lightning,1970,30,43,0,35.7,224,251,-27,73.0,3.07,3.44,-0.37,TBL,1990s
Toronto Maple Leafs,1970,43,29,0,51.2,280,243,37,72.0,3.89,3.38,0.51,TML,1990s
Vancouver Canucks,1970,41,40,0,48.8,279,276,3,81.0,3.44,3.41,0.04,VC,1990s
Washington Capitals,1970,39,35,0,46.4,277,263,14,74.0,3.74,3.55,0.19,WC,1990s
Winnipeg Jets,1970,24,51,0,28.6,245,344,-99,75.0,3.27,4.59,-1.32,WJ,1990s
Mighty Ducks of Anaheim,1970,16,27,0,33.3,125,164,-39,43.0,2.91,3.81,-0.91,MDOA,1990s
Boston Bruins,1970,27,18,0,56.2,150,127,23,45.0,3.33,2.82,0.51,BB,1990s
Buffalo Sabres,1970,22,19,0,45.8,130,119,11,41.0,3.17,2.9,0.27,BS,1990s
Calgary Flames,1970,24,17,0,50.0,163,135,28,41.0,3.98,3.29,0.68,CF,1990s
Chicago Blackhawks,1970,24,19,0,50.0,156,115,41,43.0,3.63,2.67,0.95,CB,1990s
Dallas Stars,1970,17,23,0,35.4,136,135,1,40.0,3.4,3.38,0.02,DS,1990s
Detroit Red Wings,1970,33,11,0,68.8,180,117,63,44.0,4.09,2.66,1.43,DRW,1990s
Edmonton Oilers,1970,17,27,0,35.4,136,183,-47,44.0,3.09,4.16,-1.07,EO,1990s
Florida Panthers,1970,20,22,0,41.7,115,127,-12,42.0,2.74,3.02,-0.29,FP,1990s
Hartford Whalers,1970,19,24,0,39.6,127,141,-14,43.0,2.95,3.28,-0.33,HW,1990s
Los Angeles Kings,1970,16,23,0,33.3,142,174,-32,39.0,3.64,4.46,-0.82,LAK,1990s
Montreal Canadiens,1970,18,23,0,37.5,125,148,-23,41.0,3.05,3.61,-0.56,MC,1990s
New Jersey Devils,1970,22,18,0,45.8,136,121,15,40.0,3.4,3.02,0.38,NJD,1990s
New York Islanders,1970,15,28,0,31.2,126,158,-32,43.0,2.93,3.67,-0.74,NYI,1990s
New York Rangers,1970,22,23,0,45.8,139,134,5,45.0,3.09,2.98,0.11,NYR,1990s
Ottawa Senators,1970,9,34,0,18.8,117,174,-57,43.0,2.72,4.05,-1.33,OS,1990s
Philadelphia Flyers,1970,28,16,0,58.3,150,132,18,44.0,3.41,3.0,0.41,PF,1990s
Pittsburgh Penguins,1970,29,16,0,60.4,181,158,23,45.0,4.02,3.51,0.51,PP,1990s
Quebec Nordiques,1970,30,13,0,62.5,185,134,51,43.0,4.3,3.12,1.19,QN,1990s
San Jose Sharks,1970,19,25,0,39.6,129,161,-32,44.0,2.93,3.66,-0.73,SJS,1990s
St. Louis Blues,1970,28,15,0,58.3,178,135,43,43.0,4.14,3.14,1.0,SLB,1990s
Tampa Bay Lightning,1970,17,28,0,35.4,120,144,-24,45.0,2.67,3.2,-0.53,TBL,1990s
Toronto Maple Leafs,1970,21,19,0,43.8,135,146,-11,40.0,3.38,3.65,-0.28,TML,1990s
Vancouver Canucks,1970,18,18,0,37.5,153,148,5,36.0,4.25,4.11,0.14,VC,1990s
Washington Capitals,1970,22,18,0,45.8,136,120,16,40.0,3.4,3.0,0.4,WC,1990s
Winnipeg Jets,1970,16,25,0,33.3,157,177,-20,41.0,3.83,4.32,-0.49,WJ,1990s
Mighty Ducks of Anaheim,1970,35,39,0,42.7,234,247,-13,74.0,3.16,3.34,-0.18,MDOA,1990s
Boston Bruins,1970,40,31,0,48.8,282,269,13,71.0,3.97,3.79,0.18,BB,1990s
Buffalo Sabres,1970,33,42,0,40.2,247,262,-15,75.0,3.29,3.49,-0.2,BS,1990s
Calgary Flames,1970,34,37,0,41.5,241,240,1,71.0,3.39,3.38,0.01,CF,1990s
Chicago Blackhawks,1970,40,28,0,48.8,273,220,53,68.0,4.01,3.24,0.78,CB,1990s
Colorado Avalanche,1970,47,25,0,57.3,326,240,86,72.0,4.53,3.33,1.19,CA,1990s
Dallas Stars,1970,26,42,0,31.7,227,280,-53,68.0,3.34,4.12,-0.78,DS,1990s
Detroit Red Wings,1970,62,13,0,75.6,325,181,144,75.0,4.33,2.41,1.92,DRW,1990s
Edmonton Oilers,1970,30,44,0,36.6,240,304,-64,74.0,3.24,4.11,-0.86,EO,1990s
Florida Panthers,1970,41,31,0,50.0,254,234,20,72.0,3.53,3.25,0.28,FP,1990s
Hartford Whalers,1970,34,39,0,41.5,237,259,-22,73.0,3.25,3.55,-0.3,HW,1990s
Los Angeles Kings,1970,24,40,0,29.3,256,302,-46,64.0,4.0,4.72,-0.72,LAK,1990s
Montreal Canadiens,1970,40,32,0,48.8,265,248,17,72.0,3.68,3.44,0.24,MC,1990s
New Jersey Devils,1970,37,33,0,45.1,215,202,13,70.0,3.07,2.89,0.19,NJD,1990s
New York Islanders,1970,22,50,0,26.8,229,315,-86,72.0,3.18,4.38,-1.19,NYI,1990s
New York Rangers,1970,41,27,0,50.0,272,237,35,68.0,4.0,3.49,0.51,NYR,1990s
Ottawa Senators,1970,18,59,0,22.0,191,291,-100,77.0,2.48,3.78,-1.3,OS,1990s
Philadelphia Flyers,1970,45,24,0,54.9,282,208,74,69.0,4.09,3.01,1.07,PF,1990s
Pittsburgh Penguins,1970,49,29,0,59.8,362,284,78,78.0,4.64,3.64,1.0,PP,1990s
San Jose Sharks,1970,20,55,0,24.4,252,357,-105,75.0,3.36,4.76,-1.4,SJS,1990s
St. Louis Blues,1970,32,34,0,39.0,219,248,-29,66.0,3.32,3.76,-0.44,SLB,1990s
Tampa Bay Lightning,1970,38,32,0,46.3,238,248,-10,70.0,3.4,3.54,-0.14,TBL,1990s
Toronto Maple Leafs,1970,34,36,0,41.5,247,252,-5,70.0,3.53,3.6,-0.07,TML,1990s
Vancouver Canucks,1970,32,35,0,39.0,278,278,0,67.0,4.15,4.15,0.0,VC,1990s
Washington Capitals,1970,39,32,0,47.6,234,204,30,71.0,3.3,2.87,0.42,WC,1990s
Winnipeg Jets,1970,36,40,0,43.9,275,291,-16,76.0,3.62,3.83,-0.21,WJ,1990s
Mighty Ducks of Anaheim,1970,36,33,0,43.9,245,233,12,69.0,3.55,3.38,0.17,MDOA,1990s
Boston Bruins,1970,26,47,0,31.7,234,300,-66,73.0,3.21,4.11,-0.9,BB,1990s
Buffalo Sabres,1970,40,30,0,48.8,237,208,29,70.0,3.39,2.97,0.41,BS,1990s
Calgary Flames,1970,32,41,0,39.0,214,239,-25,73.0,2.93,3.27,-0.34,CF,1990s
Chicago Blackhawks,1970,34,35,0,41.5,223,210,13,69.0,3.23,3.04,0.19,CB,1990s
Colorado Avalanche,1970,49,24,0,59.8,277,205,72,73.0,3.79,2.81,0.99,CA,1990s
Dallas Stars,1970,48,26,0,58.5,252,198,54,74.0,3.41,2.68,0.73,DS,1990s
Detroit Red Wings,1970,38,26,0,46.3,253,197,56,64.0,3.95,3.08,0.88,DRW,1990s
Edmonton Oilers,1970,36,37,0,43.9,252,247,5,73.0,3.45,3.38,0.07,EO,1990s
Florida Panthers,1970,35,28,0,42.7,221,201,20,63.0,3.51,3.19,0.32,FP,1990s
Hartford Whalers,1970,32,39,0,39.0,226,256,-30,71.0,3.18,3.61,-0.42,HW,1990s
Los Angeles Kings,1970,28,43,0,34.1,214,268,-54,71.0,3.01,3.77,-0.76,LAK,1990s
Montreal Canadiens,1970,31,36,0,37.8,249,276,-27,67.0,3.72,4.12,-0.4,MC,1990s
New Jersey Devils,1970,45,23,0,54.9,231,182,49,68.0,3.4,2.68,0.72,NJD,1990s
New York Islanders,1970,29,41,0,35.4,240,250,-10,70.0,3.43,3.57,-0.14,NYI,1990s
New York Rangers,1970,38,34,0,46.3,258,231,27,72.0,3.58,3.21,0.38,NYR,1990s
Ottawa Senators,1970,31,36,0,37.8,226,234,-8,67.0,3.37,3.49,-0.12,OS,1990s
Philadelphia Flyers,1970,45,24,0,54.9,274,217,57,69.0,3.97,3.14,0.83,PF,1990s
Phoenix Coyotes,1970,38,37,0,46.3,240,243,-3,75.0,3.2,3.24,-0.04,PC,1990s
Pittsburgh Penguins,1970,38,36,0,46.3,285,280,5,74.0,3.85,3.78,0.07,PP,1990s
San Jose Sharks,1970,27,47,0,32.9,211,278,-67,74.0,2.85,3.76,-0.91,SJS,1990s
St. Louis Blues,1970,36,35,0,43.9,236,239,-3,71.0,3.32,3.37,-0.04,SLB,1990s
Tampa Bay Lightning,1970,32,40,0,39.0,217,247,-30,72.0,3.01,3.43,-0.42,TBL,1990s
Toronto Maple Leafs,1970,30,44,0,36.6,230,273,-43,74.0,3.11,3.69,-0.58,TML,1990s
Vancouver Canucks,1970,35,40,0,42.7,257,273,-16,75.0,3.43,3.64,-0.21,VC,1990s
Washington Capitals,1970,33,40,0,40.2,214,231,-17,73.0,2.93,3.16,-0.23,WC,1990s
Mighty Ducks of Anaheim,1970,26,43,0,31.7,205,261,-56,69.0,2.97,3.78,-0.81,MDOA,1990s
Boston Bruins,1970,39,30,0,47.6,221,194,27,69.0,3.2,2.81,0.39,BB,1990s
Buffalo Sabres,1970,36,29,0,43.9,211,187,24,65.0,3.25,2.88,0.37,BS,1990s
Calgary Flames,1970,26,41,0,31.7,217,252,-35,67.0,3.24,3.76,-0.52,CF,1990s
Carolina Hurricanes,1970,33,41,0,40.2,200,219,-19,74.0,2.7,2.96,-0.26,CH,1990s
Chicago Blackhawks,1970,30,39,0,36.6,192,199,-7,69.0,2.78,2.88,-0.1,CB,1990s
Colorado Avalanche,1970,39,26,0,47.6,231,205,26,65.0,3.55,3.15,0.4,CA,1990s
Dallas Stars,1970,49,22,0,59.8,242,167,75,71.0,3.41,2.35,1.06,DS,1990s
Detroit Red Wings,1970,44,23,0,53.7,250,196,54,67.0,3.73,2.93,0.81,DRW,1990s
Edmonton Oilers,1970,35,37,0,42.7,215,224,-9,72.0,2.99,3.11,-0.12,EO,1990s
Florida Panthers,1970,24,43,0,29.3,203,256,-53,67.0,3.03,3.82,-0.79,FP,1990s
Los Angeles Kings,1970,38,33,0,46.3,227,225,2,71.0,3.2,3.17,0.03,LAK,1990s
Montreal Canadiens,1970,37,32,0,45.1,235,208,27,69.0,3.41,3.01,0.39,MC,1990s
New Jersey Devils,1970,48,23,0,58.5,225,166,59,71.0,3.17,2.34,0.83,NJD,1990s
New York Islanders,1970,30,41,0,36.6,212,225,-13,71.0,2.99,3.17,-0.18,NYI,1990s
New York Rangers,1970,25,39,0,30.5,197,231,-34,64.0,3.08,3.61,-0.53,NYR,1990s
Ottawa Senators,1970,34,33,0,41.5,193,200,-7,67.0,2.88,2.99,-0.1,OS,1990s
Philadelphia Flyers,1970,42,29,0,51.2,242,193,49,71.0,3.41,2.72,0.69,PF,1990s
Phoenix Coyotes,1970,35,35,0,42.7,224,227,-3,70.0,3.2,3.24,-0.04,PC,1990s
Pittsburgh Penguins,1970,40,24,0,48.8,228,188,40,64.0,3.56,2.94,0.62,PP,1990s
San Jose Sharks,1970,34,38,0,41.5,210,216,-6,72.0,2.92,3.0,-0.08,SJS,1990s
St. Louis Blues,1970,45,29,0,54.9,256,204,52,74.0,3.46,2.76,0.7,SLB,1990s
Tampa Bay Lightning,1970,17,55,0,20.7,151,269,-118,72.0,2.1,3.74,-1.64,TBL,1990s
Toronto Maple Leafs,1970,30,43,0,36.6,194,237,-43,73.0,2.66,3.25,-0.59,TML,1990s
Vancouver Canucks,1970,25,43,0,30.5,224,273,-49,68.0,3.29,4.01,-0.72,VC,1990s
Washington Capitals,1970,40,30,0,48.8,219,202,17,70.0,3.13,2.89,0.24,WC,1990s
Mighty Ducks of Anaheim,1970,35,34,0,42.7,215,206,9,69.0,3.12,2.99,0.13,MDOA,1990s
Boston Bruins,1970,39,30,0,47.6,214,181,33,69.0,3.1,2.62,0.48,BB,1990s
Buffalo Sabres,1970,37,28,0,45.1,207,175,32,65.0,3.18,2.69,0.49,BS,1990s
Calgary Flames,1970,30,40,0,36.6,211,234,-23,70.0,3.01,3.34,-0.33,CF,1990s
Carolina Hurricanes,1970,34,30,0,41.5,210,202,8,64.0,3.28,3.16,0.12,CH,1990s
Chicago Blackhawks,1970,29,41,0,35.4,202,248,-46,70.0,2.89,3.54,-0.66,CB,1990s
Colorado Avalanche,1970,44,28,0,53.7,239,205,34,72.0,3.32,2.85,0.47,CA,1990s
Dallas Stars,1970,51,19,0,62.2,236,168,68,70.0,3.37,2.4,0.97,DS,1990s
Detroit Red Wings,1970,43,32,0,52.4,245,202,43,75.0,3.27,2.69,0.57,DRW,1990s
Edmonton Oilers,1970,33,37,0,40.2,230,226,4,70.0,3.29,3.23,0.06,EO,1990s
Florida Panthers,1970,30,34,0,36.6,210,228,-18,64.0,3.28,3.56,-0.28,FP,1990s
Los Angeles Kings,1970,32,45,0,39.0,189,222,-33,77.0,2.45,2.88,-0.43,LAK,1990s
Montreal Canadiens,1970,32,39,0,39.0,184,209,-25,71.0,2.59,2.94,-0.35,MC,1990s
Nashville Predators,1970,28,47,0,34.1,190,261,-71,75.0,2.53,3.48,-0.95,NP,1990s
